   1    0    1  n      0.0      0.0  
  12   13   25 Al   8021.136    0.003
  11   14   25 Si   7480.110    0.400
  10   15   25 P    6812       1000      16       1000   
  18    8   26 O    6497.478    6.344
  17    9   26 F    7083.240    4.277
  16   10   26 Ne   7751.910    0.709
  15   11   26 Na   8004.201    0.135
  14   12   26 Mg   8333.870    0.001
  13   13   26 Al   8149.765    0.003
  12   14   26 Si   7924.708    0.004
  11   15   26 P    7198       1000       8       1000   
  10   16   26 S    6548       1000      23       1000   
  19    8   27 O    6185       1000      19       1000   
  18    9   27 F    6867.932   14.438
  17   10   27 Ne   7520.414    3.362
  16   11   27 Na   7956.946    0.138
  15   12   27 Mg   8263.852    0.002
  14   13   27 Al   8331.553    0.002
  13   14   27 Si   8124.341    0.004
  12   15   27 P    7663.438    0.976
  11   16   27 S    6977       1000      15       1000   
  20    8   28 O    5988       1000      25       1000   
  19    9   28 F    6614.792   14.037
  18   10   28 Ne   7388.346    4.502
  17   11   28 Na   7799.264    0.366
  16   12   28 Mg   8272.413    0.071
  15   13   28 Al   8309.894    0.003
  14   14   28 Si   8447.744    0.000
  13   15   28 P    7907.479    0.041
  12   16   28 S    7478.790    5.714
  11   17   28 Cl   6614       1000      21       1000   
  20    9   29 F    6444.031   18.116
  19   10   29 Ne   7167.067    5.155
  18   11   29 Na   7682.151    0.253
  17   12   29 Mg   8113.202    0.393
  16   13   29 Al   8348.464    0.012
  15   14   29 Si   8448.635    0.000
  14   15   29 P    8251.236    0.012
  13   16   29 S    7748.520    1.724
  12   17   29 Cl   7158.832    6.506
  21    9   30 F    6233       1000      20       1000   
  20   10   30 Ne   7034.531    8.442
  19   11   30 Na   7501.968    0.158
  18   12   30 Mg   8054.506    0.115
  17   13   30 Al   8261.128    0.096
  16   14   30 Si   8520.654    0.001
  15   15   30 P    8353.506    0.002
  14   16   30 S    8122.707    0.007
  13   17   30 Cl   7480       1000       7       1000   
  12   18   30 Ar   6904.204    6.872
  22    9   31 F    6033       1000      18       1000   
  21   10   31 Ne   6813.090    8.587
  20   11   31 Na   7398.677    0.451
  19   12   31 Mg   7869.188    0.099
  18   13   31 Al   8225.517    0.072
  17   14   31 Si   8458.291    0.001
  16   15   31 P    8481.167    0.000
  15   16   31 S    8281.800    0.007
  14   17   31 Cl   7869.209    0.111
  13   18   31 Ar   7252       1000       6       1000   
  22   10   32 Ne   6671       1000      16       1000   
  21   11   32 Na   7219.881    1.164
  20   12   32 Mg   7803.840    0.102
  19   13   32 Al   8100.344    0.224
  18   14   32 Si   8481.468    0.009
  17   15   32 P    8464.120    0.001
  16   16   32 S    8493.129    0.000
  15   17   32 Cl   8072.404    0.018
  14   18   32 Ar   7700.008    0.055
  13   19   32 K    6947       1000      13       1000   
  23   10   33 Ne   6440       1000      18       1000   
  22   11   33 Na   7089.926   13.634
  21   12   33 Mg   7636.455    0.088
  20   13   33 Al   8020.616    0.212
  19   14   33 Si   8361.059    0.021
  18   15   33 P    8513.806    0.033
  17   16   33 S    8497.630    0.000
  16   17   33 Cl   8304.755    0.012
  15   18   33 Ar   7928.955    0.012
  14   19   33 K    7407       1000       6       1000   
  24   10   34 Ne   6287       1000      15       1000   
  23   11   34 Na   6886.437   17.630
  22   12   34 Mg   7550.390    0.849
  21   13   34 Al   7860.428    0.090
  20   14   34 Si   8336.141    0.415
  19   15   34 P    8448.185    0.024
  18   16   34 S    8583.498    0.001
  17   17   34 Cl   8398.970    0.001
  16   18   34 Ar   8197.672    0.002
  15   19   34 K    7670       1000       6       1000   
  14   20   34 Ca   7204       1000       9       1000   
  24   11   35 Na   6733       1000      19       1000   
  23   12   35 Mg   7356.233    7.705
  22   13   35 Al   7787.124    0.210
  21   14   35 Si   8169.563    1.024
  20   15   35 P    8446.249    0.053
  19   16   35 S    8537.850    0.001
  18   17   35 Cl   8520.278    0.001
  17   18   35 Ar   8327.461    0.019
  16   19   35 K    7965.840    0.015
  15   20   35 Ca   7487       1000       6       1000   
  25   11   36 Na   6546       1000      19       1000   
  24   12   36 Mg   7244.419   19.173
  23   13   36 Al   7623.515    4.153
  22   14   36 Si   8112.519    1.994
  21   15   36 P    8307.868    0.364
  20   16   36 S    8575.389    0.005
  19   17   36 Cl   8521.931    0.001
  18   18   36 Ar   8519.909    0.001
  17   19   36 K    8142.219    0.009
  16   20   36 Ca   7815.879    1.111
  15   21   36 Sc   7189       1000       8       1000   
  26   11   37 Na   6392       1000      19       1000   
  25   12   37 Mg   7055.111   18.890
  24   13   37 Al   7531.315    4.871
  23   14   37 Si   7952.903    3.076
  22   15   37 P    8267.555    1.026
  21   16   37 S    8459.935    0.005
  20   17   37 Cl   8570.281    0.001
  19   18   37 Ar   8527.139    0.006
  18   19   37 K    8339.847    0.003
  17   20   37 Ca   8003.456    0.017
  16   21   37 Sc   7532       1000       8       1000   
  26   12   38 Mg   6928       1000      13       1000   
  25   13   38 Al   7377.097    9.854
  24   14   38 Si   7892.829    2.758
  23   15   38 P    8147.274    1.910
  22   16   38 S    8448.782    0.189
  21   17   38 Cl   8505.481    0.003
  20   18   38 Ar   8614.280    0.005
  19   19   38 K    8438.058    0.005
  18   20   38 Ca   8240.043    0.005
  17   21   38 Sc   7751       1000       5       1000   
  16   22   38 Ti   7332       1000       8       1000   
  27   12   39 Mg   6747       1000      13       1000   
  26   13   39 Al   7281       1000      10       1000   
  25   14   39 Si   7730.979    3.475
  24   15   39 P    8097.969    2.888
  23   16   39 S    8344.269    1.282
  22   17   39 Cl   8494.402    0.044
  21   18   39 Ar   8562.598    0.128
